date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:54	89109/89109	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:50%20GMT	https://idoportal.com/site/templates/images/bg-home-4-mobile.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-home-4-mobile.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:54	152762/152762	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:48%20GMT	https://idoportal.com/site/templates/images/bg-home-3-mobile.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-home-3-mobile.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:54	368865/368865	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:48%20GMT	https://idoportal.com/site/templates/images/bg-home-2.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-home-2.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:54	15616/15616	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2015:18:55%20GMT	https://idoportal.com/site/templates/images/button.svg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/button.svg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:55	2328/2328	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2015:18:59%20GMT	https://idoportal.com/site/templates/images/left.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/left.png	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:55	2973/2973	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2015:19:01%20GMT	https://idoportal.com/site/templates/images/right.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/right.png	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:55	321417/321417	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:51%20GMT	https://idoportal.com/site/templates/images/bg-home-4.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-home-4.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:55	8206/8206	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2015:19:01%20GMT	https://idoportal.com/site/templates/images/separator_dark.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/separator_dark.png	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:56	38003/38003	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2015:18:56%20GMT	https://idoportal.com/site/templates/images/culture.svg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/culture.svg	(from https://idoportal.com/culture/)
18:54:56	23729/23729	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2015:19:02%20GMT	https://idoportal.com/site/templates/images/tribe.svg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/tribe.svg	(from https://idoportal.com/tribe/)
18:54:56	424477/424477	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2015:18:49%20GMT	https://idoportal.com/site/templates/images/bg-home-3.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/bg-home-3.jpg	(from https://idoportal.com/site/templates/styles/styles.css)
18:54:56	59/59	---MC-	302	error ('Found')	text/plain	date:Wed,%2008%20Jan%202025%2013:54:42%20GMT	https://unpkg.com/flickity@2/dist/flickity.min.css	C:/My%20Web%20Sites/ido1/unpkg.com/flickity@2/dist/flickity.min.35.delayed	(from https://idoportal.com/when/)
18:54:57	1797/1797	---MCZ	200	added ('OK')	text/css	etag:W/%22705-iG4rBnn9uZ8eW5XLtZHjveGiMLs%22	https://unpkg.com/flickity@2.3.0/dist/flickity.min.css	C:/My%20Web%20Sites/ido1/unpkg.com/flickity@2.3.0/dist/flickity.min.css	(from https://idoportal.com/when/)
18:54:57	24412/24412	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2015:19:03%20GMT	https://idoportal.com/site/templates/images/when.svg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/when.svg	(from https://idoportal.com/when/)
18:54:57	44909/44909	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Jul%202022%2014:07:57%20GMT	https://idoportal.com/site/templates/images/monkey.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/monkey.png	(from https://idoportal.com/when/)
18:54:58	27400/27400	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2015:19:04%20GMT	https://idoportal.com/site/templates/images/where.svg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/where.svg	(from https://idoportal.com/when/)
18:54:58	86346/86346	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2015:19:00%20GMT	https://idoportal.com/site/templates/images/map.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/map.png	(from https://idoportal.com/when/)
18:54:58	19005/19005	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Sep%202021%2015:18:55%20GMT	https://idoportal.com/site/templates/images/blog.svg	C:/My%20Web%20Sites/ido1/idoportal.com/site/templates/images/blog.svg	(from https://idoportal.com/blog/)
18:54:59	92782/92782	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2014:18:00%20GMT	https://idoportal.com/site/assets/files/1195/img_9125.812x0-is.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/assets/files/1195/img_9125.812x0-is.jpg	(from https://idoportal.com/blog/)
18:54:59	11656/11656	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2013:54:45%20GMT	https://idoportal.com/blog/raising-superheros-or-abuse/	C:/My%20Web%20Sites/ido1/idoportal.com/blog/raising-superheros-or-abuse/index.html	(from https://idoportal.com/blog/)
18:55:00	12767/12767	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2013:54:46%20GMT	https://idoportal.com/blog/mcgregor/	C:/My%20Web%20Sites/ido1/idoportal.com/blog/mcgregor/index.html	(from https://idoportal.com/blog/)
18:55:00	114405/114405	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2014:18:00%20GMT	https://idoportal.com/site/assets/files/1195/img_9153.812x0-is.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/assets/files/1195/img_9153.812x0-is.jpg	(from https://idoportal.com/blog/)
18:55:00	88956/88956	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2014:18:00%20GMT	https://idoportal.com/site/assets/files/1195/img_9114.812x0-is.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/assets/files/1195/img_9114.812x0-is.jpg	(from https://idoportal.com/blog/)
18:55:01	12240/12240	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2013:54:47%20GMT	https://idoportal.com/blog/martial-artist-i-am-here-to-save-your-life/	C:/My%20Web%20Sites/ido1/idoportal.com/blog/martial-artist-i-am-here-to-save-your-life/index.html	(from https://idoportal.com/blog/)
18:55:01	155376/155376	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2014:18:00%20GMT	https://idoportal.com/site/assets/files/1191/img_8613.812x0-is.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/assets/files/1191/img_8613.812x0-is.jpg	(from https://idoportal.com/blog/)
18:55:01	8478/8478	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2013:54:47%20GMT	https://idoportal.com/blog/secret-of-longevity/	C:/My%20Web%20Sites/ido1/idoportal.com/blog/secret-of-longevity/index.html	(from https://idoportal.com/blog/)
18:55:01	8490/8490	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2013:54:47%20GMT	https://idoportal.com/blog/choosing-or-being-chosen/	C:/My%20Web%20Sites/ido1/idoportal.com/blog/choosing-or-being-chosen/index.html	(from https://idoportal.com/blog/)
18:55:02	144050/144050	---M--	200	added ('OK')	image/jpeg	date:Sat,%2025%20Sep%202021%2014:18:00%20GMT	https://idoportal.com/site/assets/files/1190/mc2015.812x0-is.jpg	C:/My%20Web%20Sites/ido1/idoportal.com/site/assets/files/1190/mc2015.812x0-is.jpg	(from https://idoportal.com/blog/)
18:55:02	15099/15099	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2013:54:48%20GMT	https://idoportal.com/blog/movement-in-mma/	C:/My%20Web%20Sites/ido1/idoportal.com/blog/movement-in-mma/index.html	(from https://idoportal.com/blog/)
18:55:02	671107/671107	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Sep%202021%2014:18:00%20GMT	https://idoportal.com/site/assets/files/1194/bad_mma_face.812x0-is.png	C:/My%20Web%20Sites/ido1/idoportal.com/site/assets/files/1194/bad_mma_face.812x0-is.png	(from https://idoportal.com/blog/)
